,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,99,57,28,74,31,10
1,5,5,1,3,10,6
2,3,8,4,3,1,6
3,6,3,9,3,7,10
4,1,5,9,8,3,3
5,9,3,5,6,2,8
6,8,7,8,10,4,5
7,7,5,8,2,1,2
8,3,7,6,7,9,7
9,9,9,5,1,4,2
10,8,4,1,2,4,8
11,3,1,4,6,10,5
12,5,7,5,6,4,6
13,6,2,3,1,7,4
14,9,3,8,2,5,1
15,5,10,9,9,1,3
16,9,5,8,1,5,7
17,1,2,5,5,4,5
18,5,5,9,7,8,2
19,8,7,6,1,9,8
20,5,4,6,5,7,6
21,1,5,10,7,1,8
22,6,5,1,6,5,4
23,4,3,5,8,6,6
24,6,7,6,3,3,5
25,5,8,2,4,4,9
26,3,8,2,8,10,6
27,1,4,10,6,5,3
28,3,2,9,3,2,9
29,10,6,9,3,6,8
30,5,8,9,2,4,9
31,9,7,8,8,7,8
32,9,8,8,8,5,10
33,1,1,4,5,3,1
34,2,2,3,3,10,8
35,10,8,1,8,3,3
36,4,8,10,3,9,8
37,73,2,52,2,11,59
38,3,2,5,8,5,4
39,5,6,5,10,7,3
40,6,8,6,10,8,10
41,7,10,2,5,2,2
42,9,9,10,5,10,5
43,1,9,10,2,9,6
44,5,2,8,1,8,1
45,9,4,3,8,1,6
46,8,5,5,5,6,8
47,3,4,8,5,5,9
48,2,9,10,1,5,5
49,2,6,9,9,5,9
50,1,4,2,9,8,10
51,7,10,1,2,1,3
52,7,8,3,2,3,5
53,10,9,3,10,7,8
54,4,6,10,8,6,2
55,2,6,4,5,6,7
56,5,6,7,2,7,3
57,5,3,2,4,1,3
58,2,4,6,5,7,10
59,2,7,5,5,9,2
60,3,5,1,4,5,6
61,5,1,9,6,2,2
62,6,2,3,6,2,6
63,4,3,4,8,8,7
64,4,9,6,7,4,5
65,10,7,7,9,9,9
66,6,8,1,1,3,9
67,3,1,8,7,1,7
68,1,3,4,2,10,8
69,10,3,7,10,3,6
70,5,10,2,8,9,1
71,9,8,1,6,4,9
72,4,3,1,9,2,5
73,5,2,2,2,9,8
74,5,19,29,40,41,57
75,5,10,7,6,8,1
76,4,1,8,4,5,1
77,9,7,1,5,6,2
78,8,7,9,1,3,4
79,9,3,4,4,7,2
80,10,1,10,7,9,2
81,2,3,8,2,3,8
82,2,1,1,8,1,10
83,7,9,3,7,10,2
84,9,9,8,9,10,1
85,6,6,3,5,6,4
86,7,7,3,9,7,7
87,6,1,8,1,8,4
88,5,7,1,3,3,5
89,7,9,5,1,4,2
90,1,10,2,10,2,2
91,5,10,1,4,10,8
92,9,10,1,2,9,3
93,5,8,4,4,6,8
94,2,9,1,8,5,3
95,10,8,2,9,6,1
96,5,9,7,3,7,1
97,8,4,10,3,1,1
98,7,8,7,4,10,2
99,4,2,4,5,6,1
100,10,4,9,4,10,3
101,9,3,7,3,7,6
102,7,10,9,2,10,10
103,4,9,7,4,9,1
104,3,6,6,2,3,1
105,8,3,6,9,6,4
106,2,2,9,10,10,10
107,8,3,1,2,2,10
108,7,8,1,1,3,1
109,9,2,8,3,5,4
110,2,2,7,4,8,2
111,99,78,65,5,66,34
112,5,6,8,7,7,6
113,1,4,5,9,6,5
114,4,10,2,1,5,10
115,6,10,8,4,6,3
116,2,9,9,10,6,10
117,8,5,6,3,9,6
118,5,9,8,4,7,5
119,6,10,2,3,5,3
120,10,10,9,4,9,1
121,2,9,5,6,2,2
122,2,2,1,2,4,3
123,6,5,6,8,10,7
124,5,3,2,6,6,6
125,9,1,7,6,3,2
126,3,3,8,5,10,3
127,5,1,4,1,6,6
128,6,6,2,8,10,6
129,1,4,2,5,3,6
130,9,7,4,3,9,3
131,2,4,1,7,10,6
132,5,7,8,5,3,3
133,4,9,8,4,9,1
134,5,6,8,3,10,6
135,10,4,3,8,5,8
136,9,7,2,8,4,4
137,4,5,10,2,5,8
138,8,5,2,7,8,10
139,4,2,1,6,2,1
140,10,6,2,10,9,2
141,7,7,2,6,2,9
142,1,6,2,5,8,2
143,1,7,10,1,9,10
144,5,9,10,1,3,2
145,8,1,3,8,4,9
146,6,1,7,7,3,4
147,5,8,4,7,3,4
148,85,71,15,11,21,31
149,6,7,2,6,8,1
150,10,8,5,5,4,6
151,2,2,1,5,8,8
152,2,9,4,10,8,6
153,2,7,10,3,6,4
154,5,1,6,9,7,9
155,10,3,9,1,6,5
156,6,3,1,5,10,10
157,10,9,10,7,4,9
158,9,7,6,2,2,8
159,6,8,6,8,1,2
160,9,10,8,4,3,10
161,7,10,6,5,7,4
162,9,1,4,3,6,1
163,7,1,9,10,10,7
164,10,10,3,5,3,4
165,4,3,3,7,7,6
166,1,4,6,2,9,4
167,4,9,1,3,10,1
168,7,3,10,10,4,8
169,2,8,1,5,3,10
170,5,5,8,6,8,5
171,8,5,5,5,9,2
172,7,3,3,9,8,8
173,7,9,5,3,7,8
174,6,8,5,6,10,7
175,9,10,7,8,5,1
176,7,1,1,3,7,10
177,8,8,1,5,6,2
178,1,9,8,8,10,1
